date;trav;;;;;
01/06/2006;-0.125520762;;;;;
01/09/2006;1.087192359;;;;;
01/10/2006;-0.266871167;;;;;
01/11/2006;-0.593819353;;;;;
01/12/2006;1.898942693;;;;;
1/13/2006;-0.290900645;;;;;
1/16/2006;0.210817502;;;;;
1/17/2006;1.203188913;;;;;
1/18/2006;-0.73464709;;;;;
1/19/2006;-0.566262366;;;;;
1/20/2006;1.940608337;;;;;
1/23/2006;-0.23126185;;;;;
1/24/2006;-0.095897062;;;;;
1/27/2006;1.24473145;;;;;
1/30/2006;-0.279255582;;;;;
1/31/2006;0.64840484;;;;;
02/01/2006;0.222435798;;;;;
02/02/2006;0.171600937;;;;;
02/03/2006;-2.155182655;;;;;
02/06/2006;-0.056486223;;;;;
02/07/2006;0.085640163;;;;;
02/08/2006;-1.19869865;;;;;
02/09/2006;-0.091786053;;;;;
02/10/2006;0.598133676;;;;;
2/13/2006;0.149527276;;;;;
2/14/2006;-1.501318607;;;;;
2/15/2006;0.768729346;;;;;
2/16/2006;0.910841927;;;;;
2/17/2006;1.454808419;;;;;
2/20/2006;0.200204447;;;;;
2/21/2006;0.151635501;;;;;
2/22/2006;-0.52321544;;;;;
2/23/2006;0.116849623;;;;;
2/24/2006;0.249149888;;;;;
03/02/2006;0.341676397;;;;;
03/03/2006;-0.090443644;;;;;
03/06/2006;0.211571469;;;;;
03/07/2006;-1.766071259;;;;;
03/08/2006;-1.573103787;;;;;
03/09/2006;-0.192844555;;;;;
03/10/2006;-1.529326206;;;;;
3/13/2006;0.758956919;;;;;
3/14/2006;-0.128288983;;;;;
3/15/2006;1.046283208;;;;;
3/16/2006;0.915811441;;;;;
3/17/2006;-0.109534213;;;;;
3/20/2006;-0.147072421;;;;;
3/21/2006;0.226765588;;;;;
3/22/2006;-1.27514843;;;;;
3/23/2006;0.646523135;;;;;
3/24/2006;-0.552806228;;;;;
3/27/2006;0.156629985;;;;;
3/28/2006;0.104324939;;;;;
3/29/2006;-1.697760085;;;;;
3/30/2006;1.172638671;;;;;
3/31/2006;0.375566204;;;;;
